Measurement_ID,Date,Time,Value,Unit
8828,2025-02-13,08:43:14,17630,LUX     
8829,2025-02-13,08:48:14,19420,LUX     
8830,2025-02-13,08:53:14,19110,LUX     
8831,2025-02-13,08:58:14,9150,LUX     
8832,2025-02-13,09:03:14,14670,LUX     
8833,2025-02-13,09:08:14,26100,LUX     
8834,2025-02-13,09:13:14,26000,LUX     
8835,2025-02-13,09:18:14,34400,LUX     
8836,2025-02-13,09:23:14,32700,LUX     
8837,2025-02-13,09:28:14,31800,LUX     
8838,2025-02-13,09:33:14,31700,LUX     
8839,2025-02-13,09:38:14,23000,LUX     
8840,2025-02-13,09:43:14,18150,LUX     
8841,2025-02-13,09:48:14,19100,LUX     
8842,2025-02-13,09:53:14,16440,LUX     
8843,2025-02-13,09:58:14,16970,LUX     
8844,2025-02-13,10:03:14,21800,LUX     
8845,2025-02-13,10:08:14,63400,LUX     
8846,2025-02-13,10:13:14,25600,LUX     
8847,2025-02-13,10:18:14,19300,LUX     
8848,2025-02-13,10:23:14,66900,LUX     
8849,2025-02-13,10:28:14,70300,LUX     
8850,2025-02-13,10:33:14,68200,LUX     
8851,2025-02-13,10:38:14,69500,LUX     
8852,2025-02-13,10:43:14,71300,LUX     
8853,2025-02-13,10:48:14,73100,LUX     
8854,2025-02-13,10:53:14,49200,LUX     
8855,2025-02-13,10:58:14,79300,LUX     
8856,2025-02-13,11:03:14,76700,LUX     
8857,2025-02-13,11:08:14,16850,LUX     
8858,2025-02-13,11:13:14,81600,LUX     
8859,2025-02-13,11:18:14,82800,LUX     
8860,2025-02-13,11:23:14,83200,LUX     
8861,2025-02-13,11:28:14,20400,LUX     
8862,2025-02-13,11:33:14,19200,LUX     
8863,2025-02-13,11:38:14,93300,LUX     
8864,2025-02-13,11:43:14,93600,LUX     
8865,2025-02-13,11:48:14,49600,LUX     
8866,2025-02-13,11:53:14,99999,LUX     
8867,2025-02-13,11:58:14,95500,LUX     
8868,2025-02-13,12:03:14,99999,LUX     
8869,2025-02-13,12:08:14,99999,LUX     
8870,2025-02-13,12:13:14,99999,LUX     
8871,2025-02-13,12:18:14,99999,LUX     
8872,2025-02-13,12:23:14,99999,LUX     
8873,2025-02-13,12:28:14,99999,LUX     
8874,2025-02-13,12:33:14,99999,LUX     
8875,2025-02-13,12:38:14,99999,LUX     
8876,2025-02-13,12:43:14,99999,LUX     
8877,2025-02-13,12:48:14,99999,LUX     
8878,2025-02-13,12:53:14,99999,LUX     
8879,2025-02-13,12:58:14,99999,LUX     
8880,2025-02-13,13:03:14,33800,LUX     
8881,2025-02-13,13:08:14,99999,LUX     
8882,2025-02-13,13:13:14,99999,LUX     
8883,2025-02-13,13:18:14,43800,LUX     
8884,2025-02-13,13:23:14,59600,LUX     
8885,2025-02-13,13:28:14,99999,LUX     
8886,2025-02-13,13:33:14,29900,LUX     
8887,2025-02-13,13:38:14,19300,LUX     
8888,2025-02-13,13:43:14,99999,LUX     
8889,2025-02-13,13:48:14,24100,LUX     
8890,2025-02-13,13:53:14,99999,LUX     
8891,2025-02-13,13:58:14,99999,LUX     
8892,2025-02-13,14:03:14,99999,LUX     
8893,2025-02-13,14:08:14,99999,LUX     
8894,2025-02-13,14:13:14,99999,LUX     
8895,2025-02-13,14:18:14,99999,LUX     
8896,2025-02-13,14:23:14,41000,LUX     
8897,2025-02-13,14:28:14,22000,LUX     
8898,2025-02-13,14:33:14,17610,LUX     
8899,2025-02-13,14:38:14,20000,LUX     
8900,2025-02-13,14:43:14,97400,LUX     
8901,2025-02-13,14:48:14,49000,LUX     
8902,2025-02-13,14:53:14,24100,LUX     
8903,2025-02-13,14:58:14,16340,LUX     
8904,2025-02-13,15:03:14,31300,LUX     
8905,2025-02-13,15:08:14,17150,LUX     
8906,2025-02-13,15:13:14,18880,LUX     
8907,2025-02-13,15:18:14,29800,LUX     
8908,2025-02-13,15:23:14,16400,LUX     
8909,2025-02-13,15:28:14,17630,LUX     
8910,2025-02-13,15:33:14,25800,LUX     
8911,2025-02-13,15:38:14,76900,LUX     
8912,2025-02-13,15:43:14,65200,LUX     
8913,2025-02-13,15:48:14,10710,LUX     
8914,2025-02-13,15:53:14,8700,LUX     
8915,2025-02-13,15:58:14,10680,LUX     
8916,2025-02-13,16:03:14,10590,LUX     
8917,2025-02-13,16:08:14,9050,LUX     
8918,2025-02-13,16:13:14,9450,LUX     
8919,2025-02-13,16:18:14,8010,LUX     
8920,2025-02-13,16:23:14,5990,LUX     
8921,2025-02-13,16:28:14,5250,LUX     
8922,2025-02-13,16:33:14,4060,LUX     
8923,2025-02-13,16:38:14,3450,LUX     
8924,2025-02-13,16:43:14,3460,LUX     
8925,2025-02-13,16:48:14,3450,LUX     
8926,2025-02-13,16:53:14,3180,LUX     
8927,2025-02-13,16:58:14,3140,LUX     
8928,2025-02-13,17:03:14,3770,LUX     
8929,2025-02-13,17:08:14,3790,LUX     
8930,2025-02-13,17:13:14,3600,LUX     
8931,2025-02-13,17:18:14,2990,LUX     
8932,2025-02-13,17:23:14,2910,LUX     
8933,2025-02-13,17:28:14,2660,LUX     
8934,2025-02-13,17:33:14,2180,LUX     
8935,2025-02-13,17:38:14,2200,LUX     
8936,2025-02-13,17:43:14,2340,LUX     
8937,2025-02-13,17:48:14,1840,LUX     
8938,2025-02-13,17:53:14,1516,LUX     
8939,2025-02-13,17:58:14,1393,LUX     
8940,2025-02-13,18:03:14,1183,LUX     
8941,2025-02-13,18:08:14,1050,LUX     
8942,2025-02-13,18:13:14,945,LUX     
8943,2025-02-13,18:18:14,766,LUX     
8944,2025-02-13,18:23:14,565,LUX     
8945,2025-02-13,18:28:14,450,LUX     
8946,2025-02-13,18:33:14,396,LUX     
8947,2025-02-13,18:38:14,307,LUX     
8948,2025-02-13,18:43:14,197,LUX     
8949,2025-02-13,18:48:14,109,LUX     
8950,2025-02-13,18:53:14,57,LUX     
8951,2025-02-13,18:58:14,36,LUX     
8952,2025-02-13,19:03:14,10,LUX     
8953,2025-02-13,19:08:14,3,LUX     
8954,2025-02-13,19:13:14,0,LUX     
8955,2025-02-13,19:18:14,0,LUX     
8956,2025-02-13,19:23:14,0,LUX     
8957,2025-02-13,19:28:14,0,LUX     
8958,2025-02-13,19:33:14,0,LUX     
8959,2025-02-13,19:38:14,0,LUX     
8960,2025-02-13,19:43:14,0,LUX     
8961,2025-02-13,19:48:14,0,LUX     
8962,2025-02-13,19:53:14,0,LUX     
8963,2025-02-13,19:58:14,0,LUX     
8964,2025-02-13,20:03:14,0,LUX     
8965,2025-02-13,20:08:14,0,LUX     
8966,2025-02-13,20:13:14,0,LUX     
8967,2025-02-13,20:18:14,0,LUX     
8968,2025-02-13,20:23:14,0,LUX     
8969,2025-02-13,20:28:14,0,LUX     
8970,2025-02-13,20:33:14,0,LUX     
8971,2025-02-13,20:38:14,0,LUX     
8972,2025-02-13,20:43:14,0,LUX     
8973,2025-02-13,20:48:14,0,LUX     
8974,2025-02-13,20:53:14,0,LUX     
8975,2025-02-13,20:58:14,0,LUX     
8976,2025-02-13,21:03:14,0,LUX     
8977,2025-02-13,21:08:14,0,LUX     
8978,2025-02-13,21:13:14,0,LUX     
8979,2025-02-13,21:18:14,0,LUX     
8980,2025-02-13,21:23:14,0,LUX     
8981,2025-02-13,21:28:14,0,LUX     
8982,2025-02-13,21:33:14,0,LUX     
8983,2025-02-13,21:38:14,0,LUX     
